Title,Author,Date,Subgenre,isbn,pageCount,publisher,publishedDate,description,averageRating,ratingsCount,categories,maturityRating
Shadowrun Legends: 2XS,Nigel Findley,03-01-2026,Cyberpunk,,480,Catalyst Game Labs,,"2XS, THE HALLUCINOGENIC CHIP OF CHOICE… To Excess—that's how they say it on the streets…before it destroyed their minds. Private detective Dirk Montgomery thinks he knows those streets. He's watched the change with the world, as the powers of magic grow and alter the balances of power. He thinks he understands even the deepest shadows and the darkest of hearts. He is wrong. Now there's something out there beyond his understanding. Something foul and alien. Something that will consume even the most wary soul. And if he’s not careful, even Dirk’s...",,,Fiction,NOT_MATURE
Sheepfarmer's Daughter,Elizabeth Moon,03-01-2026,Military Fantasy,9780671654160,973,Baen Books,1988-06,"Paksenarrion--Paks, for short--refuses her father's orders to marry the pig farmer down the road and is off to join the army. And so her adventure begins--the adventure that transforms her into a hero remembered in songs, chosen by the gods to restore a lost ruler to his throne.",5,2,Fiction,NOT_MATURE
The Dragonbone Chair,Tad Williams,03-01-2026,Epic Fantasy,9781101160770,674,Astra Publishing House,2005-03-01,"From master storyteller and New York Times-bestseller Tad Williams comes the first book in the landmark epic fantasy saga of Memory, Sorrow, and Thorn. With The Dragonbone Chair, Tad Williams introduced readers to the incredible fantasy world of Osten Ard. His beloved, internationally bestselling series Memory, Sorrow, and Thorn inspired a generation of modern fantasy writers, including George R.R. Martin, Patrick Rothfuss, and Christopher Paolini, and defined Tad Williams as one of the most important fantasy writers of our time. This edition features a brand-new introduction from Tad Williams' editor as well as the original introduction from Williams himself! “One of my favorite fantasy series.” —George R. R. Martin “Groundbreaking.” —Patrick Rothfuss “One of the great fantasy epics of all time.” —Christopher Paolini BOOK ONE: THE DRAGONBONE CHAIR A war fueled by the powers of dark sorcery is about to engulf the peaceful land of Osten Ard—for Prester John, the High King, lies dying. And with his death, the Storm King, the undead ruler of the elf-like Sithi, seizes the chance to regain his lost realm through a pact with the newly ascended king. Knowing the consequences of this bargain, the king’s younger brother joins with a small, scattered group of scholars, the League of the Scroll, to confront the true danger threatening Osten Ard. Simon, a kitchen boy from the royal castle unknowingly apprenticed to a member of this League, will be sent on a quest that offers the only hope of salvation, a deadly riddle concerning long-lost swords of power. Compelled by fate and perilous magics, he must leave the only home he’s ever known and face enemies more terrifying than Osten Ard has ever seen, even as the land itself begins to die. After the landmark Memory, Sorrow, and Thorn trilogy, the epic saga of Osten Ard continues with The Heart of What Was Lost. Then don’t miss the sequel trilogy, The Last King of Osten Ard, beginning with The Witchwood Crown!",,,Fiction,NOT_MATURE
She Is the Darkness,Glen Cook,02-24-2026,Dark Fantasy / Mercenary,9781466831070,615,Tor Books,1998-07-15,"Glen Cook's She is the Darkness is the second book in the fast-paced Glittering Stone military fantasy series. The wind whines and howls with bitter breath. Lightning snarls and barks. Rage is an animate force upon the plain of glittering stone. Even shadows are afraid. At the heart of the plain stands a vast grey stronghold, unknown, older than any written memory. One ancient tower has collapsed across the fissure. From the heart of the fastness comes a great deep slow breath like that of a slumbering world-heart, cracking the olden silence. Death is eternity. Eternity is stone. Stone is silence. Stone cannot speak but stone remembers. So begins the next movement of Glittering Stone.... The tale again comes to us from the pen of Murgen, Annalist and Standard Bearer of the Black Company, whose developing powers of travel through space and time give him a perspective like no other. Led by the wily commander, Croaker, and the Lady, the Company is working for the Taglian government, but neither the Company nor the Taglians are overflowing with trust for each other. Arrayed against both is a similarly tenuous alliance of sorcerers, including the diabolical Soulcatcher, the psychotic Howler, and a four-year-old child who may be the most powerful of all. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
Operation Bounce House,Matt Dinniman,02-14-2026,LitRPG / Dungeon Crawler,9780593820315,449,Penguin,2026-02-10,"A man must fight for his planet against impossible odds when gamers from Earth attempt to remotely annihilate it in this epic, fast-paced novel from the New York Times bestselling author of the smash-hit Dungeon Crawler Carl. All colonist Oliver Lewis ever wanted to do was run the family ranch with his sister, maybe play a gig or two with his band, and keep his family’s aging fleet of intelligent agriculture bots ticking as long as possible. He figures it will be a good thing when the transfer gate finally opens all the way and restores instant travel and full communication between Earth and his planet, New Sonora. But there’s a complication. Even though the settlers were promised they’d be left in peace, Earth’s government now has other plans. The colossal Apex Industries is hired to commence an “eviction action.” But maximizing profits will always be Apex’s number one priority. Why spend money printing and deploying AI soldiers when they can turn it into a game? Why not charge bored Earthers for the opportunity to design their own war machines and remotely pilot them from the comfort of their homes? The game is called Operation Bounce House. Oliver and his friends soon find themselves fighting for their lives against machines piloted by gamers who’ve paid a premium for the privilege. With the help of an old book from his grandfather and a bucket of rusty parts, Oliver is determined to defend the only home he’s ever known.",,,Fiction,NOT_MATURE
Journeymage,Terry Mancour,02-07-2026,LitRPG / Portal Fantasy,9798681364443,486,,2021-04-11,"Minalan's Summer Vacation! What does the most powerful wizard in the world do after the war is over? Despite the hordes of goblins still ready to ravage human lands, King Rard has signed a treaty with them, so Minalan is forbidden from taking advantage of their weakened state. Most would take a well-deserved rest over the summer . . . but Minalan and his household are busy repaying a favor owed to the tribal Kasari for their help in the war, and the Spellmonger pays his debts. So Minalan spends his summer sneaking two thousand Kasari children through enemy lines, goblin territory, hostile Wilderlords, and through some of the roughest territory in the Five Duchies toward salvation. But the Spellmonger soon learns that not even the help of a goddess is going to be sufficient to contend with the realities of the quest. Despite his best efforts and some of the most advanced magic seen since the Magocracy, the march attracts enemies . . . and far too many friends. For when the desperate refugees of the war-torn Alshari Wilderlands see the well-fed legions of Kasari march by, they cannot help but follow, even if they have no idea of the destination. Any life is better than the hopeless existence they've lived avoiding starvation and the goblins' stewpot. And the promise of hope the great march of the Spellmonger's children offers is just too good to pass up. Security and the promise of a brighter future lie just on the other side of the border with the duchy of Castal. The problem is that the Duke of Castal, Prince Tavard, who is also Minalan's titular overlord, is dead-set against a single Alshari refugee crossing his frontier - and he's assembled a small army to stop any from doing so. With political pressure high and the very gods maneuvering behind the scenes, it's going to take some clever magic, some inspired legal maneuvering, and some serious effort to pull off this miracle . . . but that's the kind of job the Spellmonger does in Journeymage!",,,,NOT_MATURE
High Mage,Terry Mancour,01-21-2026,LitRPG / Portal Fantasy,9781720895855,608,Createspace Independent Publishing Platform,2014-10-02,"Rock Star!Things were starting to look up for Magelord Minalan the Spellmonger - the magic mountain in his domain not only made him a wealthy man and the most powerful mage in history, it also produced a lode of magical gemstones with unique properties - properties the Alka Alon, the masters of magic on Callidore, are fascinated by. When Minalan gets his chance to trade some of his magic rocks for irionite, he finds himself in a position to raise hundreds more magi with the stones . . . making them High Magi.But as valuable as that bargain is for prosecuting the war with the Dead God and his sinister armies, such power comes with a hefty price. Every new High Mage Minalan raises presents potential new problems. The Magelords have inspired fear in their neighbors. The warmagi invent deadly new spells. The lower orders of magi are getting restless. The mage-led Sevendor Town wants a new charter. King Rard and the royal court are pressuring the nascent Arcane Orders politically. Some magi are crossing the Penumbra and taking stones from the goblins, as well as taking their service. And some are just starting to get a little crazy.It makes a nice, normal little raid on his lands seem refreshing in its simplicity.In trying to balance the needs of the war with the needs of a well-ordered Order, Minalan finds himself making compromises, cutting deals, and bargaining what power he has in a high-stakes game where Chaos seems to be the only player who knows the rules. The temptations of his position and the power he wields are great, but so, he discovers, are the responsibilities. But when his patience seems nearly exhausted and his alliances seem ready to crumble, a massive army emerges from the shadowy realms and strikes south, forcing the High Magi to rally around the Spellmonger in defense of the kingdom. As the genocidal goblin army marches toward the once-prosperous cottonlands of Gilmora, Minalan and his High Magi must defend a single bridge against them at all costs. And they are ready to. But the plans of magi count little when the powerful and subtle mind of the Dead God opposes them. For when the die is cast and the first blow is struck, it becomes clear that nothing is as Minalan had foreseen. As disaster looms for the humani kingdom and even the Alka Alon are threatened, only a desperate appeal to divinity, a dangerously risky adventure and a little classy enchantment offer any hope against calamity. For the day has come when all that stands between ruin and survival is the bravery and cunning of the Spellmonger and his High Magi!",,,,NOT_MATURE
Knights Magi,Terry Mancour,01-09-2026,LitRPG / Portal Fantasy,9781790693870,560,,2018-12-04,"Opposites Attack!When the Magelord Minalan the Spellmonger's two apprentices, Tyndal and Rondal, were knighted after the battle of Timberwatch, they were dubbed Knights Magi: a new class of nobility for distinguished High Magi. Designed to combine the pursuit of arcane knowledge with the noble aspirations of chivalry, it elevated them above common warmage . . . in theory. The problem was they had no idea how to be a Knight Mage . . . because no one had ever been one before. And as a couple of half-trained rustic apprentices from the Mindens they did not feel up to the task or the high ideals of their title. But Master Minalan the Spellmonger decided to cure that ignorance. He arranges for Tyndal and Rondal to be tutored and trained together in their new vocation, learning the arts of magic, the craft of warfare and the subtleties of chivalry from the finest masters in the kingdom. If they didn't kill each other, first.The two young spellmonger's apprentices from the Minden mountain domain of Boval Vale have much in common: both had their homes destroyed, they were both sent into exile by the goblin invasion, and they both serve the same master. Yet they could not be more different. Rondal is quiet, bookish, and introspective, dedicated to the disciplines of academic magic and anticipating a future of study, service, and, perhaps, romance. Tyndal is bold and brash: an extroverted over-achiever with dreams of glory, gold, and girls. Fate, circumstance, and the whims of the gods have forced them together, but the raw emotions of adolescence and the trauma of war put them at each others' throats with depressing frequency. Master Minalan can't have that, especially not in his fragile new domain with another baby on the way . . . so he sends them on the road. Jealousy, anxiety, passion and frustration conspire to make them rivals - but if they don't figure out a way to learn to work together, and quickly, then their stubborn feud could end up affecting the fate of the entire war. Along the way they pick up some enemies, gain a few allies, master a few new skills, and attempt to learn the laws of love. But as they stumble through their lessons and learn to master their tempers they discover that the strongest bonds between men are forged by the most difficult of trials. For after they become proficient at magic, war, and errantry they are put to the test in the field, the most difficult of circumstances . . . a mission where the strength of their friendship and the quality of their honor may be what defines them best as Knights Magi!",,,,NOT_MATURE
Magelord,Terry Mancour,12-27-2025,LitRPG / Portal Fantasy,9781548433574,748,Createspace Independent Publishing Platform,2017-09-20,"MINALAN GETS MEDIEVAL! When you defeat the invading goblin army, get knighted on the field of battle, gifted with lands and gold, usually your happily-ever-after is . . . happy. But now that Minalan the Spellmonger has been ennobled and enfiefed, Sire Minalan has a task cut out for him that makes defeating goblins seem like child's play: moving his very pregnant bride and a few thousand refugees from Boval Vale into the remote, sparsely-peopled Domain of Sevendor. But when he arrives, he finds the land withered from neglect, filled with superstition and suspicion, a third of his domain has been conquered before he got there, and the castle he now owns hasn't been maintained in decades. As Minalan manages the challenges of being a noble, being a mage knight, being the lord of the manor, being a landlord, and fending off a belligerent (and well-armed) neighbor, he also has to learn how to be a husband, father, and a leader of a people. Then the fateful night his son is finally born, Minalan learns the nature of fear, as he, his family, and his very realm are forever changed when the spell he casts to save their lives transforms the land. Minalan, his apprentices Sir Tyndal and Sir Rondal, his dour but efficacious castellan Sir Cei, and his moody wife struggle through the winter and defend their domain in his attempt to prove what a Magelord can do for his people when he puts magic in their service. But in the distance, the threat of a renewed war with the goblins looms as they approach the Riverlands, the Gilmoran baronies that are the heart of the Duchies. The contentious High Magi convene to constitute the new Arcane Orders, while the fanatical Royal Censorate of Magic plots defeat them and the thousands of hedgemagi, witches and footwizards they terrorized now see Minalan as a hero. The sinister Family schemes to promote Duke Rard II to become King Rard I of the newly-united Kingdom of Castalshar - over a pile of bodies, if necessary. And suddenly, out of the sky fall dragons in the service of the Dead God to strike at the strength of the nascent Kingdom. How can Sire Minalan fight goblins, plots, poverty and politics, all from his remote and rustic vale while keeping the peasants in line and the Warbird of West Fleria at bay? With wit, courage, determination, and a healthy dose of magic. And when the new King tasks him to find a way to slay a dragon, an ordinary knight might shy away from the quest. For Sire Minalan, it's just another day on the job as a MAGELORD!",,,Dragons,NOT_MATURE
Jurassic Bark,Hollis James,12-19-2025,Children's,9781913110390,,,2019,,,,,NOT_MATURE
Puppy Dance Party!,Hollis James,12-19-2025,Children's,9781536456530,,,2019,"""DJ Rubble is hosting a celebration, but when the guest of honor, Chickaletta, goes missing, it's up to the pups from Adventure Bay to save the day. Boys and girls ages 3 to 7 will love this exciting storybook, which features a lenticular design that makes the party seems to pop off the cover!""--Amazon.",,,Disc jockeys,NOT_MATURE
The Pups Save Christmas!,Nickelodeon Publishing,12-19-2025,Children's,9781612639987,46,Nickelodeon,2015-08-03,PAW Patrol is Nickelodeon’s new animated action-adventure series starring a pack of six heroic puppies led by a tech-savvy boy named Ryder. This book is perfect for boys and girls ages 3 to 7. This Nickelodeon Read-Along contains audio narration.,,,Juvenile Fiction,NOT_MATURE
The Pups Save Friendship Day,Nickelodeon Publishing,12-19-2025,Children's,9781681074696,28,Nickelodeon,2017-01-09,"When the mail can’t be delivered on Friendship Day, it’s up to Nickelodeon’s PAW Patrol to help spread the love. Girls and boys ages 3 to 7 will thrill to this full-color storybook. This Nickelodeon read-along contains audio narration.",,,Juvenile Fiction,NOT_MATURE
Warmage,Terry Mancour,12-16-2025,LitRPG / Portal Fantasy,9781545250549,746,Createspace Independent Publishing Platform,2017-04-08,"The Goblin Invasion Is On... ...and a wizard's work is never done! After facing a hopeless siege, an implacable foe and an impossible escape, you would think that Minalan the Spellmonger would be able to rest -- but the armies of the undead goblin shaman Sheruel (known as the Dead God to his human victims) are rolling over the western reaches of the rustic Duchy of Alshar and is headed toward the heart of the Duchy of Castal. Thousands are fleeing for their lives as hordes of goblins pour out of Boval Vale and devastate the rugged fiefs of the Alshari Wilderlands. And the super-charged shamans of the Dead God are making defending the realm almost impossible for the outnumbered Alshari country knights. While the two Dukes play feudal politics to further their own ends, the only people who seem to care about the invasion are Minalan and his outlaw warmagi friends -- and they're busy dodging agents of the sinister Royal Censorate of Magic. But if someone doesn't organize an army in northern Alshar soon, then there will be nothing to stop the armies of the divinely-powerful Dead God from conquering all five Duchies in his genocidal quest for vengeance. But things are just not that simple: he has to cope with a sexy young Shadowmage assassin who works for a mysterious spymaster, a cocky new manservant, a dysfunctional group of suddenly-powerful warmagi, the Censor General, and a bunch of whiny nobles before the Dukes will grant him the troops and money he will need -- and the Dukes have plans of their own. If Minalan the Spellmonger can't lobby the courts of Alshar and Castal to work together -- and quickly -- the hordes of the Dead God will sweep over the frontiers of both states. Worse, the mysterious Umbra veil he has erected around Boval Vale may come to imperil all Five Duchies. Minalan would rather just go home and let the Dukes handle it, but his conscience won't let him. Someone has to stop the Dead God . . . and that someone happens to be him. Beyond politics and plots, goblins and trolls, mercenaries and magic, the Soulless and the shamans, Censors and secret orders, for Minalan there is only the thought that his child is to be born in a world with such dangers, and that is something he cannot permit. It is time for the Spellmonger to pick up his mageblade, grab his witchstone, summon his allies, and go to war again . . . as a Warmage!",,,,NOT_MATURE
